quote,character
"""Oh, there could be no question as to the superim",holmes
"""Wait a bit, Gregson. All you desire is a plain statement, is it not?""",holmes
"""Exactly, my dear Watson. Your reflection, though profound, had already crossed my mind. But I dare say it may have come to your notice that if you walk into a post-office and demand to see the counterfoil of another man's message there may be some disinclination on the part of the officials to oblige you. There is so much red tape in these matters",holmes
"Exactly. You would like to tell people how you died. No use writing on paper. That would be seen. If you wrote on the wall someone might rest upon it. Now, look here! Just above the skirting is scribbled with a purple indelible pencil: 'We we--'",holmes
"""I have to use this room as a place of business,"" he said, ""and these people are my clients.""",holmes
and at half-past eight he,holmes
"""My fiddle would be the better for new strings,"" he remarked. ""Put your pistol in your pocket. When the fellow comes speak to him in an ordinary way. Leave the rest to me. Don't frighten him by looking at him too hard.""",holmes
"""To leave you here. You are not fit for further adventures to-night.""",holmes
"""Married! When?""",holmes
"""What are you going to do, then?""",holmes
"""That is also quite modern,"" said the lady.",holmes
"""Pray proceed.""",holmes
"""There is but one danger which can threaten us. It is that he",holmes
"""If this woman is in truth his wife, where does Mrs. Laura Lyons come",holmes
"""We are now going to interview Lord Holdhurst, the cabinet minister",holmes
"""This is indeed a most serious matter. Even more culpable in my opinion, your Grace, is your attitude towards your younger son. You leave him in this den for three days.""",holmes
"""I have been beaten four times--three times by men, and once by a woman.""",holmes
and hence my,holmes
"""It was a quarter of an hour before my time, but I thought that would make no difference. 126b was a passage between two large shops, which led to a winding stone stair, from which there were many flats, let as offices to companies or professional men. The names of the occupants were painted at the bottom on the wall, but there was no such name as the Franco-Midland Hardware Company, Limited. I stood for a few minutes with my heart in my boots, wondering whether the whole thing was an elaborate hoax or",holmes
"""Sure I spoke for myself only,"" said he. ""I am a newcomer, as you know, and I am strange to it all. It is not for me to open my mouth, Mr. Morris, and if you think well to say anything to me I am here to hear it.""",holmes
"""We simply detailed the circumstances, and said that we should be",holmes
"I heard her shut the door, and felt quite sure that she had turned the key in the lock.",holmes
"no, of course not. I suppose there is no doubt that the mark was",holmes
But I have told you everything.,holmes
"Miss Presbury, but the case is still obscure. Perhaps what you have to say may throw some fresh light upon it.""",holmes
"of course, fits in with",holmes
"Who are you, then? What do you want?""",holmes
"""My dear sir,"" cried Dr. Mortimer, ""it is only mislaid. You will find it when you return to the hotel.""",holmes
"then in justice to my partner I must insist that,",holmes
And Irene Adler?,holmes
"""We telegraphed this morning.""",holmes
"'Yes,' said I, 'I have taken to living by my wits.'",holmes
"""We were some distance off, and this fog may have deadened them.""",holmes
""" said the other sternly. ""We are of those who believe in those sacred writings, drawn in Egyptian letters on plates of beaten gold, which were handed unto the holy Joseph Smith at Palmyra. We have come from Nauvoo, in the State of Illinois, where we had founded our temple. We have come to seek a refuge from the violent man and from the godless, even though it be the heart of the desert.",holmes
"Watson! A thumb-nail sketch. I seem to know the man. Now, can you give me some idea of Shoscombe Old Place?""",holmes
"‘We shall know if you speak of this,’",holmes
"perhaps, enter the sacred domain to-night without fear of bodily assault. There are one or two points on which I should like reassurance.""",holmes
"No, no, nothing of the kind. It is perhaps the best possible solution. I trust, Mr. Holder, that you are nearing the end of your troubles.",holmes
"""Well, well,"" said he, ""I suppose I shall have to compound a felony as usual. How much does it cost to go round the world in first-class style?""",holmes
"""Was that not so",holmes
"little investigation of my own to-night, and it is just possible that",holmes
"""Did you find nothing in the room which could furnish a clue to the murderer?""",holmes
"""I want to test a little theory of mine,""",holmes
Of course He did.,holmes
"""Well, he went a bit woozy towards the end. It's enough to make a man bug-house when he has to play a part from morning to night with a hundred guys all ready to set the coppers wise to him. But now there is Steiner--""",holmes
"The blind was not down in your room, and I could see Miss Harrison sitting there reading by the table.",holmes
"""I then put myself in the place of Small, and looked at it as a man of his capacity would. He would probably consider that to send back the launch or to keep it at a wharf would make pursuit easy if the police did happen to get on his track. How, then, could he conceal the launch and yet have her at hand when wanted?""",holmes
"This really grows outrageous, Mr. Blessington.",holmes
"""And now tell me the result of your visit to Mrs. Laura Lyons--it was not",holmes
"""Oh, yes, he will see you. He has the collection mania in its most",holmes
How long was it before you went to bed?,holmes
"""Come here,"" he said, bustling back into the room, the atmosphere of",holmes
"""There can be no question as to their nature,""",holmes
"""All right, mate, no offense meant. The boys will think none the worse of you, whatever you may have done. Where are you bound for now?""",holmes
"""Many people, Mr. Dodd,' said he, 'would take offence at your infernal pertinacity and would think that this insistence had reached the point of damned impertinence.'",holmes
and also in a,holmes
"""Are you strong enough to stand?""",holmes
or immediately outside the,holmes
‘But you would not advise me to refuse?’,holmes
"You may be sure that I took some precautions.  I have one of my Baker Street boys mounting guard over him who would stick to him like a burr, go where he might.  We shall find him in Hudson Street to-morrow, Watson, and meanwhile I should be the criminal myself if I kept you out of bed any longer.""",holmes
"""I understand that there was no sign of robbery?""",holmes
and receive any fresh visitors. I'll join you at lunch if I,holmes
"I think we have exhausted the path. Let us go farther. This garden door is usually kept open, I suppose? Then this visitor had nothing to do but to walk in. The idea of murder was not in her mind, or she would have provided herself with some sort of weapon, instead of having to pick this knife off the writing-table. She advanced",holmes
""" he cried, ""there's not a doubt of it! Barker has just marked the window himself. It's a good deal broader than any bootmark. I mind that you said it was a splay-foot, and here's the explanation.""",holmes
In am entirely at your service,holmes
"When I first determined to make this communication to you, I might have given you my address, but I feared that you might disregard my request and bring unpleasant people with you. I took the liberty, therefore, of making an appointment in such a way that my man Williams might be able to see you first. I have complete confidence in his discretion, and he had orders, if he were dissatisfied, to proceed no further in the matter. You will excuse these precautions, but I am a man of somewhat retiring, and I might even say refined tastes, and there is nothing more unaesthetic than a policeman. I have a natural shrinking from all forms of rough materialism. I seldom come in contact with the rough crowd. I live",holmes
"""Your narrative is most interesting,""",holmes
"""I am sorry, Mrs. Smith, for I wanted a steam launch, and I have heard good reports of the--Let me see, what is her name?""",holmes
"‘We have our own means of information. Now you will find the carriage waiting, and my friend will see you on your way.’",holmes
"""Well, Watson, what do you make of it?""",holmes
Do you think that the Duchess had anything to do with the matter?,holmes
"'Well, the fact is,' he remarked, 'that when I recover from these attacks my mind is always very clouded as to all that has gone before. I woke up in a strange room, as it seemed to me, and made my way out into the street in a sort of dazed way when you were absent.'",holmes
"you say; which chair?""",holmes
"""It shall be found, sir--I promise you that if you will have a little",holmes
"of course, borrow so trifling a sum ten times over from my friends,",holmes
"""Not clear? Well, if that isn't clear, what could be clear? Here is a",holmes
"He is no one whom I have seen down here, and I have now met all the neighbours.",holmes
"""Well, perhaps you have,""",holmes
"""An instant later he pulled me back into the blackest corner of the room, and I felt his warning hand upon my lips.""",holmes
examining minutely the,holmes
I guess because I tell you not. That's enough for most folk in,holmes
"""And that's the story of the Musgrave Ritual, Watson. They have the crown down at Hurlstone--though they had some legal bother and a considerable sum to pay before they were allowed to retain it. I am sure that if you mentioned my name they would be happy to show it to you. Of the woman nothing was ever heard, and the probability is that she got away out of England and carried herself and the memory of her crime to some land beyond the seas.""",holmes
"Mr. Holmes. I think that you know as much as I do now—probably more. We have had inquiries made as to any stranger seen on the country roads or at the railway station. We have heard of none. What beats me is the utter want of all object in the crime. Not a ghost of a motive can anyone suggest.""",holmes
"one does not like to speak of one's domestic affairs to strangers. It seems dreadful to discuss the conduct of one's wife with two men whom I have never seen before. It's horrible to have to do it. But I've got to the end of my tether, and I must have advice.",holmes
"""Some of it, but the main part at the hotel.""",holmes
"""We have been hearing Gregson's view of the matter. Would you mind letting us know what you have seen and done?""",holmes
"""I was wondering, Watson--just wondering!""",holmes
"""What was that?""",holmes
"lying in wait for him near your door,",holmes
"""I have not yet made up my mind.""",holmes
"""The moment I looked at my table I was aware that someone had",holmes
"""Something has been taken. There is less dust in this corner of the shelf than elsewhere. It may have been a book lying on its side. It may have been a box. Well, well, I can do nothing more. Let us walk in these beautiful woods, Watson, and give a few hours to the birds and the flowers. We shall meet you here later, Hopkins, and see if we can come to closer quarters with the gentleman who has paid this visit in the night.""",holmes
"""We have been allies",holmes
""" I remarked.",holmes
"So now, my dear fellow, you see exactly how we stand and why it is I want you.  It is perfectly plain that after the ladies parted from this man he followed them at a distance, that he saw the quarrel between husband and wife through the window, that he rushed in, and that the creature which he carried in his box got loose.  That is all very certain.  But he is the only person in this world who can tell us exactly what happened in that room.""",holmes
"Ted Baldwin among them, resented the rapid rise of the stranger and hated him for it; but they kept clear of him, for he was as ready to fight as to laugh.""",holmes
"man, it is the most practical medico-legal discovery for years.",holmes
"who is a fellow-lodger with you in this hotel, and we may find him the starting-point for a more successful investigation.""",holmes
and at first I thought it meant,holmes
"""It is equally certain that this house cannot be more than a mile or two from Oxshott, since Garcia was walking in that direction and hoped, according to my reading of the facts, to be back in Wisteria Lodge in time to avail himself of an alibi, which would only be valid up to one o'clock.""",holmes
"""Precisely. And if it were guilty, why did he not invent a lie? His",holmes
"you know, after a crime of this sort we are very careful to",holmes
"""All very fine, Mr. Holmes. But there",holmes
"as it will do, I will direct how you shall act. I suppose that by Saturday all might be ready?""",holmes
"""I see my sentry at his post,""",holmes
I think that you might offer me a cigar too,holmes
and you will drive to the Strand end of the Lowther,holmes
"""This case, I presume, contains the coronet. We must have a",holmes
"""I cannot imagine.""",holmes
when we had to part. I don't want to say a word against,holmes
"""It is there. The second on the left.""",holmes
"Macphail.""",holmes
"""It is obviously an attempt to convey secret information.""",holmes
"""How?""",holmes
The girl seemed to like the professor in spite of his eccentricities. It was only age which stood in the way.,holmes
"""He's a beauty, isn't he?""",holmes
"""Well, I have a trade of my own. I suppose I am the only one in the world. I'm a consulting detective, if you can understand what that is. Here in London we have lots of Government detectives and lots of private ones. When these fellows are at fault they come to me, and I manage to put them on the right scent. They lay all the evidence before me, and I am generally able, by the help of my knowledge of the history of crime, to set them straight. There is a strong family resemblance about misdeeds, and if you have all the details of a thousand at your finger ends, it is odd if you can't unravel the thousand and first. Lestrade is a well-known detective. He got himself into a fog recently over a forgery case, and that was what brought him here.""",holmes
"""It is John Hopley Neligan.""",holmes
many strange pathological,holmes
"""Why, then we may find the lady of service. It must be our first duty",holmes
"""Remarkable!""",holmes
"""No, no; the end is matted. I suppose there could not be",holmes
"Pray, let me have the details,'",holmes
"""I have carried this because I thought it might be useful,"" said he. ""The policeman",holmes
"he's the chaplain of this ship--the chaplain, no",holmes
"""Come out,""",holmes
"This northern air is invigorating and pleasant, so I propose to spend a few days upon your moors, and to occupy my mind as best I may",holmes
"""We'll search the house and make sure.""",holmes
"sir, never!""",holmes
"""Really, Gregson, you are getting along. We shall make something of you yet.""",holmes
"boy, come along, and show what you can do.""",holmes
"""A spy?""",holmes
"""He had never said as much before, and I must admit that his words gave me keen pleasure, for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his",holmes
"I was thinking of other things, and when you came tripping so lightly on those fairy feet of yours--""",holmes
could construct a Bruce-Partington,holmes
"""There we have it at last, Watson! British government--Woolwich.",holmes
"""How are you getting on?""",holmes
"""What part of the table?",holmes
"he threw himself into the cause of the Sepoys, since they were",holmes
What sort of proposal is that to make a man? I know enough of law to understand that Mary would be had as accomplice. Do you think I would leave her alone to face the music while I slunk away?,holmes
"""I see them clearly.""",holmes
"""It's more than a precious stone. It is the precious stone.""",holmes
"""Is he quiet?""",holmes
"""Very likely. It would certainly be a dangerous exploit for any normal man.""",holmes
"perhaps it won't be so difficult, after all. There is nothing more to be done here, Watson. I think we might drive round to the offices of the Daily Telegraph, and so bring a good day's work to a conclusion.""",holmes
"Mr. Holmes, it's all right,""",holmes
which she would not go--none.,holmes
"""Open this door!""",holmes
"such despair, in her manner that her words arrested me, and I stood irresolute before the door.'",holmes
The hero of the Long Island cave mystery?,holmes
then in an instant the case rises from the commonplace to,holmes
"""Certainly, there is a boy who seems to have some secret errand.""",holmes
"""The Coroner: Did your father make any statement to you before he died?",holmes
until his enemy had overtaken him.  The young Swiss had gone,holmes
and now that I am in closer touch with the,holmes
"""At the point where the path passes through the gate you could surely pick up the tracks?""",holmes
"""And that is--""",holmes
"""By George! it's attempted murder at the least. Nothing less will",holmes
"""That was where Mrs. Gibson's body lay. I marked it by that stone.""",holmes
"""Two have been cut by a not very sharp knife, and two have had the ends bitten off by a set of excellent teeth.""",holmes
"Watson! If we could only get at the man at the other end!""",holmes
"""Ah! you don't know Sarah's temper or you would wonder no more. I",holmes
"""He could see what he was doing here and he could not there. That was",holmes
"it means to pass the dollars out into circulation. Then he said he would split. Maybe he did split. I didn't wait to see. I just killed him and lighted out for the coal country.""",holmes
Write a message.,holmes
"""Wait here. He must be near his light. Let us see if we can get a",holmes
"a curly-haired spaniel. Poor Mortimer will never see his pet again. Well, I do not know that this place contains any secret which we have not already fathomed. He could hide his hound, but he could not hush its voice, and hence came those cries which even in daylight were not pleasant to hear. On an emergency he could keep the hound in the out-house at Merripit, but it was always a risk, and it was only on the supreme day, which he regarded as the end of all his efforts, that he dared do it. This paste in the tin is no doubt the luminous mixture with which the creature was daubed. It was suggested, of course, by the story of the family hell-hound, and by the desire to frighten old Sir Charles to death. No wonder the poor devil of a convict ran and screamed, even as our friend did, and as we ourselves might have done, when he saw such a creature bounding through the darkness of the moor upon his track. It was a cunning device, for, apart from the chance of driving your victim to his death, what peasant would venture to inquire too closely into such a creature should he get sight of it, as many have done, upon the moor? I said it in London, Watson",holmes
"""lies, of course, in that untimely love affair which gave our impetuous professor the idea that he could only gain his wish by turning himself into a younger man. When one tries to rise above Nature one is liable to fall below it. The highest type of man may revert to the animal if he leaves the straight road of destiny.""",holmes
"""You'll come with me to-night?""",holmes
and asked in turn who I was talking with.,holmes
"To Clotilde Lothman von Saxe-Meningen, second daughter of the King",holmes
"""I could hardly imagine a more damning case,"" I remarked. ""If ever circumstantial evidence pointed to a criminal it does so here.""",holmes
and you are not averse,holmes
"""in bed.""",holmes
"""How did the body lie?""",holmes
so that we had no points of contact,holmes
"""Why should I tell you?""",holmes
"indeed.""",holmes
"""What is that?""",holmes
from something which,holmes
"Well, well, it is surely not quite so bad as that. The cipher",holmes
"and then, when she was out of hearing,",holmes
"""You put the matter more flippantly, Mr. Holmes, than you would probably do if you were brought into personal contact with these things. Your advice, then, as I understand it, is that the young man will be as safe in Devonshire as in London. He comes in fifty minutes. What would you recommend?""",holmes
and that is final. If you think that I am going to stand,holmes
"""Yes. Tell Shinwell Johnson to get that girl out of the way. Those",holmes
"""The whole world will know the facts presently, so there can be no harm if I discuss them here. I should have preferred privacy, but if your father will not allow it he must share the deliberations.""",holmes
as if to ask me whether I were glad or,holmes
"John,' she cried, 'and half a sovereign if you reach it in twenty minutes.",holmes
"""Now, my dear Hopkins, draw up and warm your toes,""",holmes
no two of them write exactly alike. Some letters,holmes
"On the contrary,"" he answered, ""it would prevent me from taking a",holmes
"Watson, always rather fond of moping in my",holmes
"father and son, had",holmes
"""She explains that by the difference between a 'bus and a hansom.""",holmes
"""I don't quite understand.""",holmes
"Councillor."" McMurdo drew a cocked pistol from the side pocket of his peajacket. ""I was covering you all the time. I guess my shot would have been as quick as yours.""",holmes
"""Well, well, let us see how he gets on,"" said my friend,",holmes
"""As a means of tracing him if he wished to inquire about him from any third person.""",holmes
All my lines of thought lead me back invariably to the one basic,holmes
"""A touch! A distinct touch!""",holmes
and I laughed until I was quite weary.,holmes
"""But you know him well, Watson. He is such an inscrutable fellow that I never quite know what to make of him. Do you think he is hopeful? Do you think he expects to make a success of it?""",holmes
Then he would indicate how the matter might be treated.,holmes
"'Precisely what I don't want you to do. I had a row over you with Mawson's manager. I had gone up to ask him about you, and he was very offensive; accused me of coaxing you away from the service of the firm, and that sort of thing. At last I fairly lost my temper. ""If you want good men you should pay them a good price,"" said I.",holmes
"where could he, a stranger to the district, hide a horse, and such a horse as this? What is his own explanation as to the paper which he wished the maid to give to the stable-boy?""",holmes
should still talk of marrying his,holmes
"""That is of great importance. It excludes the idea that anyone could have placed the note there after death in order to furnish a false clue. Dear me! The note, as I remember, was quite short:""",holmes
"""Here is a very fashionable epistle,"" I remarked as he entered. ""Your morning letters, if I remember right, were from a fish-monger and a tide-waiter.""",holmes
"""Fortune has been your friend.""",holmes
the true murderer of,holmes
"""Still, if I had married Lord St. Simon, of course I'd have done my",holmes
"close and confidential friends, are the centre of the",holmes
"""But there was no sign within it of that desperate and defiant villain whom we expected to see.""",holmes
"""This went on day after day, Mr. Holmes, and on Saturday the manager",holmes
"""Yes. It was the bisulphate of baryta.""",holmes
"Very good, very good.",holmes
in the country of the Broads. The house was an,holmes
There were one or two questions,holmes
Mr. Holmes. Effie loves me. Don't let there be any mistake about that. She loves,holmes
"and as long as I have my hip-pocket I have something in it.""",holmes
"""The finding of the pistol in her wardrobe.""",holmes
"""You are sure that there is no wound?""",holmes
"Prendergast was the leader,",holmes
"""Really. I should have thought a little earlier. However, it is easily ascertained.""",holmes
"and some hundreds of Henry Bakers in this city of ours, it",holmes
"""Anything remarkable on hand?""",holmes
"""It is a noiseless lock,"" said he. ""It is no wonder that it did not",holmes
"with a clergyman all ready in waiting, that we just did",holmes
turning the whole matter over and over in my,holmes
"""It is certainly ten to one that they go down-stream",holmes
"A young woman opened the door, who proved to be Mrs. Tangey's eldest daughter.",holmes
"""'Oh, you do, do you?"" he snars. ""Very good, mate. We'll see about that!""",holmes
"""A penitentiary job?""",holmes
"""The muscles are as hard as a board,""",holmes
"""I have a window open.""",holmes
"""This is most important,"" said he when I had concluded.",holmes
"""We'd do better without you, Captain Marvin,""; ""for we have our own police of the township, and no need for any imported goods. What are you but the paid tool of the capitalists, hired by them to club or shoot your poorer fellow citizen?""",holmes
""" McMurdo answered. ""As to being disloyal, if it was any man but",holmes
"""You may well say so. And yet there were one or two points which worried young Edmunds, of the Berkshire Constabulary.""",holmes
"""Dearest [ran the message]: The old place on the beach just after sunset on Tuesday. It is the only time I can get away. F. M.""",holmes
"Sir Robert,""",holmes
"""Indeed, it seemed unnecessary to put so nice a bell-pull there. You",holmes
"Mrs. Straker?""",holmes
""" said Sherlock Holmes, knocking out the ashes of his after-breakfast pipe and slowly refilling it. ""That is the gentleman I await. As to the story, you have hardly time to master all these papers, so I must give it to you in a nutshell if you are to take an intelligent interest in the proceedings. This man is the greatest financial power in the world, and a man, as I understand, of most violent and formidable character.""",holmes
"who stood outside this opening and fired through it. Any shot directed at this person might hit the sash. I looked, and there, sure enough, was the bullet mark!""",holmes
"""Well, Sir Robert, this matter must, of course, be referred to the police. It was my duty to bring the facts to light, and there I must leave it. As to the morality or decency of your conduct, it is not for me to express an opinion. It is nearly midnight, Watson, and I think we may make our way back to our humble abode.""",holmes
"""Quite so. Why? When we answer that we have made some progress with our little problem. Why? There can be only one adequate reason. Someone wanted to learn to imitate your writing, and had to procure a specimen of it first. And now if we pass on to the second point we find that each throws light upon the other. That point is the request made by Pinner that you should not resign your place, but should leave the manager of this important business in the full expectation that a Mr. Hall Pycroft, whom he had never seen, was about to enter the office upon the Monday morning.""",holmes
"""When I remembered that you had seen her at that window, and how she had fainted on seeing the coronet again, my conjecture became a certainty.""",holmes
"Mr. Bates,"" said Holmes. ""Pray sit down. I fear I can only give you a short time, for I have an appointment at eleven.""",holmes
"""Were you present when he opened it?""",holmes
"Mr. Dodd, it was not to discuss the science of",holmes
"as you say, you",holmes
"""Then we shall come early in the afternoon. Let us see that we have our facts correct before we start. If we go over them it will help Dr. Watson to understand the situation.""",holmes
"""I fear that Watson and I must go to London.""",holmes
Now that I do know it I shall do my best to forget it.,holmes
"""There was a double line of tracks of a booted man, and a second double line which I saw with delight belonged to a man with naked feet.""",holmes
""" cried Holmes, with decision.",holmes
and also a formidable man. Should they in the,holmes
"""I'm not denying it,""; ""D'ye think I'm ashamed of my own name?""",holmes
"""Yes; there was a tantalus containing brandy and whisky on the sea-chest.",holmes
"Now then, Mr. Cocksure,"" said the salesman, ""I thought that I was out of geese, but before I finish you'll find that there is still one left in my shop. You see this little book?""",holmes
"""That seems simple enough.""",holmes
"'We are now,' said he, 'actually within the hydraulic press, and it would be a particularly unpleasant thing for us if anyone were to turn it on.",holmes
"""Where are we going to now?""",holmes
"Williamson, where did you get the marriage license?""",holmes
"there is a strip of grass about six feet broad on either side.""",holmes
"""But here he comes, if I am not mistaken, to speak for himself.""",holmes
"Yes, sir, there must have been some very strange people with some",holmes
"""Eh? What of it, then? Has it returned to life and flapped off",holmes
"""The real source,""",holmes
"""That is in answer to mine of this morning. He is the best of the professionals, I think, and we may need his assistance. Now, Watson, I think that we cannot employ our time better than by calling upon your acquaintance, Mrs. Laura Lyons.""",holmes
"""No, sir, I do not desire any particulars. My son here--is of one mind with me that Mr. McPherson's attentions to Maud were insulting. Yes, sir, the word 'marriage' was never mentioned, and yet there were letters and meetings, and a great deal more of which neither of us could approve. She has no mother, and we are her only guardians. We are determined--""",holmes
"Vox populi, vox Dei. You are acquitted, Captain Croker. So long as the law does not find some other victim you are safe from me. Come back to this lady in a year, and may her future and yours justify us in the judgment which we have pronounced this night.",holmes
"I fear that even now--""",holmes
"""I fancy that among your extensive archives, Watson, you may find some which were nearly as obscure.""",holmes
"""And you thought the rooms were watched?""",holmes
"Here you are, 'Mrs. Oakshott, 117, Brixton Road, egg and poultry supplier.'",holmes
"I got your telegram, and I came at the hour you said. I heard that you had been down to the office. There was no getting away from you. Let's hear the worst. What are you going to do with me? Arrest me? Speak out, man! You can't sit there and play with me like a cat with a mouse.",holmes
"that was it.""",holmes
"""Not a bit, Doctor. Stay where you are. I am lost without my Boswell. And this promises to be interesting. It would be a pity to miss it.""",holmes
"Why, Gregson! said my companion as he shook hands with the Scotland Yard detective. Journeys end with lovers' meetings. What brings you here?",holmes
"Look here, Watson, just sit down in this chair and let me preach to you for a little. I don't know quite what to do, and I should value your advice. Light a cigar and let me expound.",holmes
"Mr. Holmes?"",",holmes
"'Done!' said he. ""We picked him out of the gutter, and he won't leave us so easily."" Those were his very words'.",holmes
"Mr. Holmes; but when I thought of all the precaution I had taken to shield this girl--for I loved her, Mr. Holmes, and it is the only time that ever I knew what love was--it",holmes
"""Really, Holmes,""",holmes
"""They are not very hard to deceive,""",holmes
"""It suits my purpose. Watson, I mean to burgle Milverton's house",holmes
"""What did you do then, sir?""",holmes
"""Come, come,""",holmes
"The alarm had reached Scotland Yard by this time, and Mr. Forbes, the detective, came round at once and took up the case with a great deal of energy.",holmes
"taking the paper and glancing his eye down it. ""This is the Dundas separation case, and, as it happens, I was engaged in clearing up some small points in connection with it. The husband was a teetotaler, there was no other woman, and the conduct complained of was that he had drifted into the habit of winding up every meal by taking out his false teeth and hurling them at his wife, which, you will allow, is not an action likely to occur to the imagination of the average story-teller. Take a pinch of snuff, Doctor, and acknowledge that I have scored over you in your example.""",holmes
"Miss Presbury, that there is some fresh development in the case, and that you thought we should know?""",holmes
and your presence may,holmes
and they are only delayed,holmes
"he would. The key of the outer door, the key of the office, and",holmes
there are hundreds of men now walking the earth who,holmes
"""There is no murder,' I answered. 'Who talks of murdering a mad dog? What mercy had you upon my poor darling, when you dragged her from her slaughtered father, and bore her away to your accursed and shameless harem.'""",holmes
if that chap can't find my,holmes
"Ah! He has left two nail-marks from his boot upon your linoleum just where the light strikes it.  No, thank you, I had some supper at Waterloo, but I'll smoke a pipe with you with pleasure.",holmes
"""dear fellow, and open the door, for all virtuous folk have been long",holmes
"""Oh surely if you consider the events at first they can only point to one conclusion.""",holmes
"Mr. Holmes. He had been very strange all day. I am sure that there are times when he has no recollection of what he does. He lives as in a strange dream. Yesterday was such a day. It was not my father with whom I lived. His outward shell was there, but it was not really he.""",holmes
"""Nothing else? Is there no circumstance on which this whole case",holmes
"but in doing so I must wound you deeply in another direction.""",holmes
"""Ah, if I could give it a name it might go a long way towards solving the case.  On the whole, it was probably some creature of the weasel and stoat tribe--and yet it is larger than any of these that I have seen.""",holmes
"you can come, but until then I don't want to see your",holmes
"""Peculiar--that is the very word,""",holmes
"""Here is a man with an English coat frayed at the elbow and trousers bagged at the knee with a year's wear, and yet by this document and by his own account he is a provincial American lately landed in London.""",holmes
"pray, of Tapanuli fever? What do you know of the black Formosa",holmes
"of course, saw that everyone in the street was an accomplice. They were all engaged for the evening.""",holmes
"""You remember that a stonemason, named Slater, walking from Forest Row about one o'clock in the morning--two days before the murder--stopped as he passed the grounds and looked at the square of light still shining among the trees.",holmes
"""Well, what if I am? That I should advise you to be careful in choosing your friends. I don't think I'd begin with Mike Scanlan or his gang if I were you.""",holmes
"Come with me, and we will see what is to be made of this fellow.""",holmes
"""Well, your own good sense will suggest what measures I took next.""",holmes
"""There is nothing new under the sun. It has all been done before.""",holmes
How about poison?,holmes
"""Stop her!"" He had bounded across the room and had wrenched a small phial from her hand.",holmes
"Peterson, who, as you",holmes
"""I understand, however, from the inquest that there were some objects which you failed to overlook?",holmes
"and the Englishman knows the Sikh. Hearken,",holmes
The Bible!,holmes
"""If it was one of a pair you should surely be able to match it.""",holmes
"""As to your practice, if a gentleman walks into my rooms smelling of iodoform, with a black mark of nitrate of silver upon his right forefinger, and a bulge on the right side of his top-hat to show where he has secreted his stethoscope, I must be dull, indeed, if I do not pronounce him to be an active member of the medical profession.""",holmes
and to see how far they would help us. I went,holmes
"""Because he foresaw that she would be very much more useful to him",holmes
"""I wished Mr. Acton to be present while I demonstrated this small matter to you,""",holmes
"""Ay, bodies, Watson. We should be rich men if we had £1000 for every poor devil who has been done to death in that den. It is the vilest murder-trap on the whole riverside, and I fear that Neville St. Clair has entered it never to leave it more. But our trap should be here.""",holmes
"""Here comes our man, I think.""",holmes
"""Ah! She's not that old green launch with a yellow line, very broad in the beam?""",holmes
"if the rebels won he would have his money, but if the Company",holmes
"""Did she make it clear why, on reaching her house, she ran into the",holmes
"""Quite so,""",holmes
"""Many circumstances could be imagined under which he would pass London Bridge. There was someone in the carriage, for example, with whom he was having an absorbing interview. This interview led to a violent scene in which he lost his life. Possibly he tried to leave the carriage, fell out on the line, and so met his end. The other closed the door. There was a thick fog, and nothing could be seen.""",holmes
"you know, and what you might call",holmes
"""An evening alone!""",holmes
"""I was aware of it,""",holmes
"""Give me your coat and umbrella,""",holmes
"""And there is the Aurora,""",holmes
"""But she could not love him.""",holmes
"""You have a grand gift of silence, Watson. It makes you quite invaluable as a companion.""",holmes
"You do not know her, but she has a soul of steel.",holmes
drew the lamp to the edge of the,holmes
'To-day?',holmes
"""The addition of a P and a D completed a message which showed me that the rascal was proceeding from persuasion to threats, and my knowledge of the crooks of Chicago prepared me to find that he might very rapidly put his words into action. I at once came to Norfolk with my friend and colleague, Dr. Watson, but, unhappily, only in time to find that the worst had already occurred.",holmes
"""and the strange thing is, Mr. Sherlock Holmes, that if my friend here had not proposed coming round to you this morning I should have come on my own account. I understand that you think out little puzzles, and I've had one this morning which wants more thinking out than I am able to give it.""",holmes
"""Then it was barred after them.""",holmes
"""I have underrated your intelligence. Well, good-afternoon!""",holmes
"""He has not been moved at all?""",holmes
"the groom,""",holmes
I did not understand that you were merely an intermediary. Who is the principal?,holmes
"as you will find to your cost. You fool, you would have it and you have got it. Who asked you to cross my path? If you had left me alone I would not have hurt you.""",holmes
"""How can you possibly tell?""",holmes
"then, that some unforeseen catastrophe has occurred to him?""",holmes
"""What were the terms?""",holmes
"""And how did you get your clue?""",holmes
that's because he daren't trust you. But in his heart he is,holmes
"""Then I shall call upon you in a day, or in two days, with news as to",holmes
"""Prove it to me! Prove it to me! And if you can do so--!""",holmes
and his voice sank almost to a whisper as he answered:--,holmes
"""Then what has brought matters to a head?""",holmes
"""Now, Mr. Holder,"" said Holmes, ""here is the corner which corresponds",holmes
"Holmes?""",holmes
"""motive. Here's a man dead--there's no denying that--but, so far as I",holmes
was in the man's scalp where you still see the mark; this,holmes
"""You never heard me talk of Victor Trevor?"" he asked. ""He was the",holmes
"then I am very much deceived. So now, you see, we begin to",holmes
"""They are only too clear,""",holmes
"Because I made a blunder, my dear Watson--which is, I am afraid,",holmes
