number,character,quote
155,hp,"Did I not tell you all along that this was a crime passionnel? Why did her first husband, Frederick Bosner, threaten to kill her? Because he loved her . . . And in the end, you see, he made his boast good. . . .

“Mais oui—mais oui—once I realize that it is Dr. Leidner who did the killing, everything falls into place. . . .

“For the second time, I recommence my journey from the beginning—Mrs. Leidner’s first marriage—the threatening letters—her second marriage. The letters prevented her marrying any other man—but they did not prevent her marrying Dr. Leidner. How simple that is—if Dr. Leidner is actually Frederick Bosner.

“Once more let us start our journey—from the point of view this time of young Frederick Bosner.

“To begin with, he loves his wife Louise with an overpowering passion such as only a woman of her kind can evoke. She betrays him. He is sentenced to death. He escapes. He is involved in a railway accident but he manages to emerge with a second personality—that of a young Swedish archaeologist, Eric Leidner, whose body is badly disfigured and who will be conveniently buried as Frederick Bosner.

“What is the new Eric Leidner’s attitude to the woman who was willing to send him to his death? First and most important, he still loves her. He sets to work to build up his new life. He is a man of great ability, his profession is congenial to him and he makes a success of it. But he never forgets the ruling passion of his life. He keeps himself informed of his wife’s movements. Of one thing he is cold-bloodedly determined (remember Mrs. Leidner’s own description of him to Nurse Leatheran—gentle and kind but ruthless), she shall belong to no other man. Whenever he judges it necessary he despatches a letter. He imitates some of the peculiarities of her handwriting in case she should think of taking his letters to the police. Women who write sensational anonymous letters to themselves are such a common phenomenon that the police will be sure to jump to that solution given the likeness of the handwriting. At the same time he leaves her in doubt as to whether he is really alive or not.

“At last, after many years, he judges that the time has arrived; he reenters her life. All goes well. His wife never dreams of his real identity. He is a well-known man. The upstanding, good-looking young fellow is now a middle-aged man with a beard and stooping shoulders. And so we see history repeating itself. As before, Frederick is able to dominate Louise. For the second time she consents to marry him. And no letter comes to forbid the banns.

“But afterwards a letter does come. Why?

“I think that Dr. Leidner was taking no chances. The intimacy of marriage might awaken a memory. He wishes to impress on his wife, once and for all, that Eric Leidner and Frederick Bosner are two different people. So much so that a threatening letter comes from the former on account of the latter. The rather puerile gas poisoning business follows—arranged by Dr. Leidner, of course. Still with the same object in view.

“After that he is satisfied. No more letters need come. They can settle down to happy married life together.

“And then, after nearly two years, the letters recommence.

“Why? Eh bien, I think I know. Because the threat underlying the letters was always a genuine threat. (That is why Mrs. Leidner has always been frightened. She knew her Frederick’s gentle but ruthless nature.) If she belongs to any other man but him he would kill her. And she has given herself to Richard Carey.

“And so, having discovered this, cold-bloodedly, calmly, Dr. Leidner prepares the scene for murder.

“You see now the important part played by Nurse Leatheran? Dr. Leidner’s rather curious conduct (it puzzled me at the very first) in securing her services for his wife is explained. It was vital that a reliable professional witness should be able to state incontrovertibly that Mrs. Leidner had been dead over an hour when her body was found—that is, that she had been killed at a time when everybody could swear her husband was on the roof. A suspicion might have arisen that he had killed her when he entered the room and found the body—but that was out of the question when a trained hospital nurse would assert positively that she had already been dead an hour.

“Another thing that is explained is the curious state of tension and strain that had come over the expedition this year. I never from the first thought that that could be attributed solely to Mrs. Leidner’s influence. For several years this particular expedition had had a reputation for happy good fellowship. In my opinion, the state of mind of a community is always directly due to the influence of the man at the top. Dr. Leidner, quiet though he was, was a man of great personality. It was due to his tact, to his judgment, to his sympathetic manipulation of human beings that the atmosphere had always been such a happy one.

“If there was a change, therefore, the change must be due to the man at the top—in other words, to Dr. Leidner. It was Dr. Leidner, not Mrs. Leidner, who was responsible for the tension and uneasiness. No wonder the staff felt the change without understanding it. The kindly, genial Dr. Leidner, outwardly the same, was only playing the part of himself. The real man was an obsessed fanatic plotting to kill.

“And now we will pass on to the second murder—that of Miss Johnson. In tidying up Dr. Leidner’s papers in the office (a job she took on herself unasked, craving for something to do) she must have come on some unfinished draft of one of the anonymous letters.

“It must have been both incomprehensible and extremely upsetting to her! Dr. Leidner has been deliberately terrorizing his wife! She cannot understand it—but it upsets her badly. It is in this mood that Nurse Leatheran discovers her crying.

“I do not think at the moment that she suspected Dr. Leidner of being the murderer, but my experiments with sounds in Mrs. Leidner’s and Father Lavigny’s rooms are not lost upon her. She realizes that if it was Mrs. Leidner’s cry she heard, the window in her room must have been open, not shut. At the moment that conveys nothing vital to her, but she remembers it.

“Her mind goes on working—ferreting its way towards the truth. Perhaps she makes some reference to the letters which Dr. Leidner understands and his manner changes. She may see that he is, suddenly, afraid.

“But Dr. Leidner cannot have killed his wife! He was on the roof all the time.

“And then, one evening, as she herself is on the roof puzzling about it, the truth comes to her in a flash. Mrs. Leidner has been killed from up here, through the open window.

“It was at that minute that Nurse Leatheran found her.

“And immediately, her old affection reasserting itself, she puts up a quick camouflage. Nurse Leatheran must not guess the horrifying discovery she has just made.

“She looks deliberately in the opposite direction (towards the courtyard) and makes a remark suggested to her by Father Lavigny’s appearance as he crosses the courtyard.

“She refuses to say more. She has got to ‘think things out.’

“And Dr. Leidner, who has been watching her anxiously, realizes that she knows the truth. She is not the kind of woman to conceal her horror and distress from him.

“It is true that as yet she has not given him away—but how long can he depend upon her?

“Murder is a habit. That night he substitutes a glass of acid for her glass of water. There is just a chance she may be believed to have deliberately poisoned herself. There is even a chance she may be considered to have done the first murder and has now been overcome with remorse. To strengthen the latter idea he takes the quern from the roof and puts it under her bed.

“No wonder that poor Miss Johnson, in her death agony, could only try desperately to impart her hard-won information. Through ‘the window,’ that is how Mrs. Leidner was killed, not through the door—through the window. . . .

“And so thus, everything is explained, everything falls into place . . . Psychologically perfect.

“But there is no proof . . . No proof at all . . ."
156,mm,"Yes, I know. That’s what my nephew, Raymond West, would say. He’d tell me I hadn’t a shadow of proof. But I remember Walter Hones, who kept the Green Man. Walking home with his wife one night she fell into the river—and he collected the insurance money! And one or two other people that are walking about scot-free to this day—one indeed in our own class of life. Went to Switzerland for a summer holiday climbing with his wife. I warned her not to go—the poor dear didn’t get angry with me as she might have done—she only laughed. It seemed to her funny that a queer old thing like me should say such things about her Harry. Well, well, there was an accident—and Harry is married to another woman now. But what could I do? I knew, but there was no proof."
157,hp,"This is very weak and silly of me,"
158,mm,"I always find one thing very like another in this world,"
159,sh,"I expect, as usual, he
     knows a good deal that we don't."
160,hp,"Ah, pardon, you yourself, Monsieur, opened your door and looked out for a second."
161,mm,"Your tip about the parcel dispatched to that charity, by the way, was entirely successful. It contained a brand new brightly coloured man’s polo-necked jumper in scarlet and black checks. Most noticeable. What made you think of that?"
162,sh,"Thank you. I think that I quite follow you,"
163,hp,"I doubt if you’d know the truth if you heard it,"
164,hp,"It seems so. I deplore my inadequacy, gentlemen."
165,mm,"are Mr. Broadribb’s secretary. If she’s out, find out what time she will be in."
166,sh,"but I must regard what you
     have just said as either a very bad joke or an insult."
167,mm,"It’s all much the same kind, really, isn’t it?"
168,mm,"and there is no need to be profane about it. The hand of God is everywhere. The first thing I saw were the black spots—the marks of St. Peter’s thumb. That is the legend, you know. St. Peter’s thumb. And that brought things home to me. I needed faith, the ever true faith of St. Peter. I connected the two things together, faith—and fish."
169,sh,"I wrote two more articles and then, feeling more drowsy than ever, I
     rose and walked up and down the room to stretch my legs. My coffee
     had not yet come, and I wondered what was the cause of the delay
     could be. Opening the door, I started down the corridor to find out.
     There was a straight passage, dimly lighted, which led from the room
     in which I had been working, and was the only exit from it. It ended
     in a curving staircase, with the commissionaire's lodge in the
     passage at the bottom. Half way down this staircase is a small
     landing, with another passage running into it at right angles. This
     second one leads by means of a second small stair to a side door,
     used by servants, and also as a short cut by clerks when coming from
     Charles Street. Here is a rough chart of the place."
170,hp,"I had no idea Lady Clarke disliked me so much. In fact, I always thought she was rather fond of me."
171,mm,He’s done his best to bully the butler—but apparently the butler wasn’t curious enough to listen at the door. So there it is—no one knows.
172,hp,I hope you’re not annoyed? It was very careless of me.
173,sh,"having secured the future, we can afford to be more lenient with the
     past. I am not in an official position, and there is no reason, so
     long as the ends of justice are served, why I should disclose all
     that I know. As to Hayes I say nothing. The gallows awaits him, and I
     would do nothing to save him from it. What he will divulge I cannot
     tell, but I have no doubt that your Grace could make him understand
     that it is to his interest to be silent. From the police point of
     view he will have kidnapped the boy for the purpose of ransom. If
     they do not themselves find it out I see no reason why I should
     prompt them to take a broader point of view. I would warn your Grace,
     however, that the continued presence of Mr. James Wilder in your
     household can only lead to misfortune."
174,mm,"There was—er—something you wanted to see me about, I think,"
175,hp,"that proves at least that Cassetti—or Ratchett, as I shall continue to call him—was certainly alive at twenty minutes to one."
176,sh,"And he stretched his long white hand up for it.









     ----------
     This text is provided to you"
177,hp,"It may come to that. But let us not be in a hurry. Let us proceed
slowly, with due order and method. Charles Kent is not yet formally
charged with murder. Circumstances may arise which will render your
story unnecessary."
178,hp,"Mrs. Marshall never, sir. Miss Darnley has once or twice, I think. Mrs. Redfern doesn’t often bathe before breakfast—only when it’s very hot, but she didn’t this morning."
179,sh,"There are certainly grave
     difficulties in the way,"
180,sh,"And now, Mr. Soames, I wish
     you good-night."
181,mm,"I do think you should be more careful how you choose your friends. You are so credulous, dear, so easily gulled. I suppose it is being a writer and having so much imagination. All that story about a Spanish galleon! If you were older and had more experience of life you would have been on your guard at once. A man you had known only a few weeks, too!"
182,mm,"You’re reviving it to go on tour next autumn, aren’t you?"
183,mm,"No. Only a feeling of assurance that her pilgrimage was put an end to by malign design. Someone wanted to stop her going wherever she was going, or stop her going to whomever she was going to. One can only hope that chance or Providence may throw light on that."
184,sh,"The question was hardly out of my mouth, and Holmes had not yet
     opened his lips to reply, when we heard a heavy footfall in the
     passage and a tap at the door."
185,mm,"I have dropped another stitch. I have been so interested in the story. A sad case, a very sad case. It reminds me of old Mr. Hargraves who lived up at the Mount. His wife never had the least suspicion—until he died, leaving all his money to a woman he had been living with and by whom he had five children. She had at one time been their housemaid. Such a nice girl, Mrs. Hargraves always said—thoroughly to be relied upon to turn the mattresses every day—except Fridays, of course. And there was old Hargraves keeping this woman in a house in the neighbouring town and continuing to be a Churchwarden and to hand round the plate every Sunday."
186,mm,But you went to the post office and represented that the parcel was yours.
187,sh,"There was no wind that night, I understand,"
188,hp,Hotel gossip is usually a tissue of lies!
189,mm,"In fact, I had no opportunity of doing so."
190,hp,"Do you believe that letter, then, to be a forgery?"
191,hp,Linda’s not coming. She says she’s got a frightful headache.
192,mm,"a lot of people are stupid. And stupid people get found out, whatever they do. But there are quite a number of people who aren’t stupid, and one shudders to think of what they might accomplish unless they had very strongly rooted principles."
193,hp,She saw someone enter and leave Linnet Doyle’s cabin on that fatal night.
194,sh,"'Lord Backwater tells me that I may place implicit reliance upon
     your judgment and discretion. I have determined, therefore, to call
     upon you and to consult you in reference to the very painful event
     which has occurred in connection with my wedding. Mr. Lestrade, of
     Scotland Yard, is acting already in the matter, but he assures me
     that he sees no objection to your co-operation, and that he even
     thinks that it might be of some assistance. I will call at four
     o'clock in the afternoon, and, should you have any other engagement
     at that time, I hope that you will postpone it, as this matter is of
     paramount importance."
195,sh,"I was sorry to cause you the sympathetic pain
     which I know that you felt. We then went upstairs together, and
     having entered the room and seen the dressing-gown hanging up behind
     the door, I contrived, by upsetting a table, to engage their
     attention for the moment, and slipped back to examine the pockets. I
     had hardly got the paper, however--which was, as I had expected, in
     one of them--when the two Cunninghams were on me, and would, I verily
     believe, have murdered me then and there but for your prompt and
     friendly aid. As it is, I feel that young man's grip on my throat
     now, and the father has twisted my wrist round in the effort to get
     the paper out of my hand. They saw that I must know all about it, you
     see, and the sudden change from absolute security to complete despair
     made them perfectly desperate."
196,mm,"I’ll go and have a try this evening,"
197,sh,"I have no more notion than you how long it is to last,"
198,hp,Tell me more about the death of Alice Corrigan.
199,hp,"I read my Dickens. M. Harris, he will not arrive."
200,mm,"There was Mrs. Green, you know, she buried five children—and every one of them insured. Well, naturally, one began to get suspicious."
201,hp,"You are in error, my friend. You do not understand my meaning. A robbery would be a relief since it would dispossess my mind of the fear of something else."
202,mm,"Well, go on, Aunt Jane; haven’t you got anything to say?"
203,sh,"Our lady must have picked her steps carefully, must
     she not, since on the one side she would leave a track on the path,
     and on the other an even clearer one on the soft bed?"
204,hp,"Ha, Poirot. Glad to see you. Come in. Just the man I want."
205,sh,"It is of the utmost importance that you should notice this point. I
     went down the stairs and into the hall, where I found the
     commissionaire fast asleep in his box, with the kettle boiling
     furiously upon the spirit-lamp. I took off the kettle and blew out
     the lamp, for the water was spurting over the floor. Then I put out
     my hand and was about to shake the man, who was still sleeping
     soundly, when a bell over his head rang loudly, and he woke with a
     start."
206,mm,"Very interesting. Very providential—if I may use the term. Yes, it brought you here in the nick of time."
207,mm,"She wouldn’t listen. I—I tried to keep him away from the house. I told him he was not to come here any more. That of course was stupid. I realized that afterwards. It only meant that she went and met him outside the house. I don’t know where. They had various meeting places. He used to call for her in his car at an agreed spot and bring her home late at night. Once or twice he didn’t bring her home until the next day. I tried to tell them it must stop, that it must all cease, but they wouldn’t listen. Verity wouldn’t listen. I didn’t expect him to, of course."
208,hp,"I do not insult you. I merely ask you all to face facts. In a house where murder has been committed, every inmate comes in for a certain share of suspicion. I ask you what evidence is there that the murderer came from outside at all?"
209,hp,"I am not mad. It was the little
discrepancy in time that first drew my attention to you—right at the
beginning."
210,mm,Then your instructions would be that we pay this sum of money into your bank?
211,mm,"So much walking and standing about. One’s feet get very tired. I suppose really I ought not to take these expeditions, but it is such a temptation to see beautiful buildings and fine rooms and furniture. All these things. And of course some splendid pictures."
212,sh,"He sleeps at the end of the passage and would have to pass my door
     in order to reach the staircase. It was a really terrifying
     experience, Mr. Holmes. I think that I am as strong-nerved as my
     neighbours, but I was shaken by what I saw. The passage was dark save
     that one window halfway along it threw a patch of light. I could see
     that something was coming along the passage, something dark and
     crouching. Then suddenly it emerged into the light, and I saw that it
     was he. He was crawling, Mr. Holmes--crawling! He was not quite on
     his hands and knees. I should rather say on his hands and feet, with
     his face sunk between his hands. Yet he seemed to move with ease. I
     was so paralyzed by the sight that it was not until he had reached my
     door that I was able to step forward and ask if I could assist him.
     His answer was extraordinary. He sprang up, spat out some atrocious
     word at me, and hurried on past me, and down the staircase. I waited
     about for an hour, but he did not come back. It must have been
     daylight before he regained his room."
213,mm,"Getting born, you know, and growing up—and coming into contact with other people—getting jostled—and then marriage and more babies—"
214,hp,"I am sure of it! But even then, what does that tell us? What did Kenneth Marshall feel about his wife?"
215,sh,"Exactly. And it looks out on an angle of the courtyard so as to be
     partly invisible. The man might have effected his entrance there,
     left traces as he passed through the bedroom, and, finally, finding
     the door open have escaped that way."
216,mm,"It certainly looks like it. What do you think, Miss Marple?"
217,hp,"And I was able to tell
him the way people were already talking about it."
218,hp,And you? Is it not that you are on holiday also?
219,hp,"I’ve thought so for some time. Poor old
chap, so that’s why he had to give up and come down here. In the
family, very likely. He’s got a nephew who’s quite off his crumpet."
220,sh,"I think that my friend and I
     can congratulate ourselves upon several most happy results from our
     little visit to the North. There is one other small point upon which
     I desire some light. This fellow Hayes had shod his horses with shoes
     which counterfeited the tracks of cows. Was it from Mr. Wilder that
     he learned so extraordinary a device?"
221,hp,"The evidence of the servants that no one entered the courtyard from outside. But it occurred to me, upon reflection, that that was really not what they had said. They had sworn that no stranger had entered the premises. They had not been asked if a member of the expedition had done so."
222,mm,"I really feel I owe a great deal to Mary, I am so thankful I had the resolution to get rid of that other girl. Mary is really invaluable. Cooks nicely and waits beautifully and keeps our little flat scrupulously clean—mattresses turned over every day. And she is really wonderful with Emily!"
223,sh,"The fact that these
     strange symptoms began after his visit to Prague, that he is in
     secret correspondence with a Bohemian dealer in London, who
     presumably represents someone in Prague, and that he received a
     packet from him this very day, all point in one direction. What he
     takes and why he takes it are still beyond our ken, but that it
     emanates in some way from Prague is clear enough. He takes it under
     definite directions which regulate this ninth-day system, which was
     the first point which attracted my attention. But his symptoms are
     most remarkable. Did you observe his knuckles?"
224,hp,What are you looking at my hands for? Do you think—do you think—?
225,sh,My uncle's voice is always remarkably low. I hardly spoke at all.
226,hp,You think definitely that Blatt is the murderer?
227,mm,"I know just the sort of thing you mean, dear,"
228,mm,"Ah. I remember. He went out there, I believe, for his health. It did him some good, perhaps, but he was already a very ill man, badly crippled, as you know."
229,hp,She can tell you nothing more than I have.
230,sh,"Now, Watson, the fair sex is your department,"
231,hp,"Yes, I will do that. But it is my opinion that I shall not be able to accomplish anything."
232,sh,"it's as
     workmanlike a job as I can remember."
233,sh,"I think I shall have a pull at that flask, Holmes.  Well, I think we
     may all congratulate each other. Pity we didn't take the other alive;
     but there was no choice. I say, Holmes, you must confess that you cut
     it rather fine. It was all we could do to overhaul her."
234,hp,"You are quite right, mademoiselle. There is such a thing. The lust to kill. But that did not quite fit the facts of the case. A homicidal maniac who desires to kill usually desires to kill as many victims as possible. It is a recurring craving. The great idea of such a killer is to hide his tracks—not to advertise them. When we consider the four victims selected—or at any rate three of them (for I know very little of Mr. Downes or Mr. Earlsfield), we realize that if he had chosen, the murderer could have done away with them without incurring any suspicion. Franz Ascher, Donald Fraser or Megan Barnard, possibly Mr. Clarke—those are the people the police would have suspected even if they had been unable to get direct proof. An unknown homicidal murderer would not have been thought of! Why, then, did the murderer feel it necessary to call attention to himself? Was it the necessity of leaving on each body a copy of an A B C railway guide? Was that the compulsion? Was there some complex connected with the railway guide?

“I found it quite inconceivable at this point to enter into the mind of the murderer. Surely it could not be magnanimity? A horror of responsibility for the crime being fastened on an innocent person?

“Although I could not answer the main question, certain things I did feel I was learning about the murderer."
235,sh,"I should not have the impertinence to
     do it again after what you say. But I should like to take a little
     walk over the moor before it grows dark, that I may know my ground
     to-morrow, and I think that I shall put this horseshoe into my pocket
     for luck."
236,mm,"It wouldn’t—to you. But some of the families were very poor, and the old age pension was a great boon to the children. I know it’s difficult for anyone outside to understand. But what I really meant was that the whole thing hinged upon one old woman being so like any other old woman."
237,hp,"You really think that is possible, my friend?"
238,sh,"I think, your Grace, that this can only be
     done by absolute and complete frankness between us. I am disposed to
     help your Grace to the best of my ability; but in order to do so I
     must understand to the last detail how the matter stands. I realize
     that your words applied to Mr. James Wilder, and that he is not the
     murderer."
239,mm,"I thought they would be at hand somewhere after they’d given me the whistle. I do not think it was a difficult house to which to gain access, there were no shuttered windows or burglar alarms or anything of that kind. One of them came back on the pretext of having left a handbag and a scarf. Between them they probably managed to leave a window unfastened, and I should imagine they came back into the house almost as soon as they left it, while the inhabitants inside were going up to bed."
240,sh,"He thought it was his mistress,
     and he found it was a stranger. Dogs don't make mistakes."
241,mm,May I ask you a question? I hope it is not too intimate a question.
242,sh,"that seemed to me to be the most damning
     incident of all."
243,sh,"There was some delay in the official pass, and instead of reaching
     Winchester that day we went down to Thor Place, the Hampshire estate
     of Mr. Neil Gibson. He did not accompany us himself, but we had the
     address of Sergeant Coventry, of the local police, who had first
     examined into the affair. He was a tall, thin, cadaverous man, with a
     secretive and mysterious manner which conveyed the idea that he knew
     or suspected a very great deal more than he dared say. He had a
     trick, too, of suddenly sinking his voice to a whisper as if he had
     come upon something of vital importance, though the information was
     usually commonplace enough. Behind these tricks of manner he soon
     showed himself to be a decent, honest fellow who was not too proud to
     admit that he was out of his depth and would welcome any help."
244,mm,"It will take a little getting used to, I expect,"
245,sh,"You don't like being beaten any more than the rest of us do,"
246,hp,we’ve got to find out who last saw the dead woman alive. Chambermaid took her her breakfast at nine. Girl in the bureau downstairs saw her pass through the lounge and go out about ten.
247,sh,"We were
     hardly quick enough with our pistols."
248,sh,"When a
     crisis comes, as it will do, I will direct how you shall act. I
     suppose that by Saturday all might be ready?"
249,sh,"I think, perhaps, we had better go down to Tredannick Wartha
     without further delay. I confess that I have seldom known a case
     which at first sight presented a more singular problem."
250,sh,"I think that this is all we will need,"
251,mm,"but of course one would never dream of doing anything of that kind nowadays, would one? Rather too noisome, I am afraid. We have a few floribunda roses near the house. I really think floribundas are such a great answer to difficulties."
252,sh,"There is more in this than meets the eye. How
     came the letter back in the box?"
253,mm,I know it. Many is the time I have played with it as a child.
254,hp,She was a charming person—most charming. And intellectual. She had a very fine brain—yes.
255,mm,No indeed. I expect the Coroner’ll mention it today.
256,mm,"One or two rather peculiar indications perhaps, but indications are not facts."
257,hp,You were asking about Redfern. My wife told me she had come across him at some cocktail party or other.
258,mm,"Eighteen fifty-one. And that explains everything, doesn’t it?"
259,hp,"I’m trying to judge the thing
fair and square. I’m a local man, and I’ve seen Captain Paton many
times in Cranchester. I’m not wanting him to be the guilty one—but it’s
bad whichever way you look at it. If he’s innocent, why doesn’t he come
forward? We’ve got evidence against him, but it’s just possible that
that evidence could be explained away. Then why doesn’t he give an
explanation?"
260,sh,"I could see that you were commiserating with me over my weakness,"
261,hp,One can’t be too careful. Don’t want to be overheard.
262,hp,"Can I discuss in the presence of Dr. Leidner the motives likely to lead to the murder of his wife by a member of the expedition? That would not have been delicate at all. I had to sustain the fiction that his wife was adorable and that everyone adored her!

“But naturally it was not like that at all. Now we can be brutal and impersonal and say what we think. We have no longer to consider people’s feelings. And that is where Nurse Leatheran is going to help us. She is, I am sure, a very good observer."
263,hp,But this is all pure conjecture. It isn’t evidence.
264,mm,Let me see—how had I better go on?
265,hp,I had no sooner spoken to him than I was aware that Cust believed himself to be guilty.
266,mm,"that nobody has come forward, if they were up on top there, pushing about rocks and boulders and things, that they haven’t come forward to say so."
267,sh,"Oh, no, sir.  He was a little gentleman, with glasses, thin in the
     face, but very pleasant in his ways, for he was laughing all the time
     that he was talking."
268,sh,"They
     hardly rise above the common herd. That d might be an a, and that l
     an e. Men of character always differentiate their long letters,
     however illegibly they may write. There is vacillation in his k's and
     self-esteem in his capitals. I am going out now. I have some few
     references to make. Let me recommend this book,--one of the most
     remarkable ever penned. It is Winwood Reade's Martyrdom of Man. I
     shall be back in an hour."
269,hp,"No, sir. All her bathing dresses were quite dry."
270,hp,"That is more difficult. The English, they do not stab. You are right there. I incline to the view that someone else dropped the pipe cleaner—and did so to incriminate the long-legged Englishman."
271,hp,"How very few young people there are out here! That pretty girl with the chestnut hair and the appalling mother in the turban is almost the only young creature in the place. You have talked to her a good deal, I notice. She interests me, that child."
272,hp,But it wouldn’t have occurred to you to let me off?
273,mm,"Then, Sir Henry, if I understand you rightly, it is this young Mr. Templeton only who is so much on your mind?"
274,sh,"CHAPTER XII
          Death on the Moor


     For a moment or two I sat breathless, hardly able to believe my ears.
     Then my senses and my voice came back to me, while a crushing weight
     of responsibility seemed in an instant to be lifted from my soul.
     That cold, incisive, ironical voice could belong to but one man in
     all the world."
275,hp,Then it has nothing to do with the crime at all.
276,hp,Seemed to be sitting in the Chief Constable’s pocket all right the other day.
277,sh,"Mrs. Lyons had resumed her seat. Her hands were grasping the arms of
     her chair, and I saw that the pink nails had turned white with the
     pressure of her grip."
278,mm,"I think he wanted it to be a surprise to you. I think he was perhaps that kind of man,"
279,sh,"All my instincts are against this explanation. Use your powers! Go
     to the scene of the crime! See the people concerned! Leave no stone
     unturned! In all your career you have never had so great a chance of
     serving your country."
280,sh,"It will serve to take him
     to Scotland Yard. And now, gentlemen,"
281,hp,"Tell me, Madame Doyle’s cousin, Miss Joanna Southwood, did she resemble Madame Doyle?"
282,hp,"Under certain circumstances, I can imagine he might be,"
283,hp,We’ll see what Colgate can make out of the typewriting alibi. In the meantime I’ve got the chambermaid of this floor waiting to be interviewed. A good deal may depend on her evidence.
284,mm,"Do you think it’s all right to do that at your age? These things can be very tiring, you know. You have to walk miles sometimes."
285,mm,"I’d better tell you briefly how I came into things now,"
286,hp,"They’re getting to look blacker and blacker against Ralph Paton,"
287,sh,"It may, of course, be a mere coincidence,
     or it may point to some nervousness which would indicate that he had
     reason to apprehend danger. Had you noticed anything unusual in his
     conduct, yesterday, Ames?"
288,hp,"I should say so most assuredly. Pierre Michel has been employed by the company for over fifteen years. He is a Frenchman—lives near Calais. Thoroughly respectable and honest. Not, perhaps, remarkable for brains."
289,sh,"With a comical pomposity of
     manner he bowed solemnly to both of us and strode off upon his way."
290,mm,"I wish you’d solve the case, Miss Marple, like you did the time Miss Wetherby’s gill of picked shrimps disappeared. And all because it reminded you of something quite different about a sack of coals."
291,hp,"Oh, I believe you. Dr. Leidner did not leave the roof. That is an undisputed fact. But what I saw—and what Miss Johnson had seen—was that Dr. Leidner could murder his wife from the roof without leaving it."
292,hp,"Every time we come back to Ralph Paton. How
did you manage to spot Miss Russell as the person Charles Kent came to
meet? Did you notice the resemblance?"
293,mm,"Well, we couldn’t do much less, having had Mr. Rafiel’s letter. He was a very thoughtful man."
294,hp,"In any case, do not distress yourself, mademoiselle,"
295,sh,"I went home to Saxe-Coburg Square, and I took the advice of my
     assistant. But he could not help me in any way. He could only say
     that if I waited I should hear by post. But that was not quite good
     enough, Mr. Holmes. I did not wish to lose such a place without a
     struggle, so, as I had heard that you were good enough to give advice
     to poor folk who were in need of it, I came right away to you."
296,mm,that there must be a very large number.
297,hp,No. He’s got his rules—crazy rules—and abides by them. Fair warning. He makes a point of that. That’s where his boastfulness comes in. I wonder now—I’d almost bet the chap drinks White Horse whisky.
298,hp,"You are, I think, the strongest character amongst us."
299,mm,"I don’t know exactly where you are, Mr. Rafiel, but I have no doubt that you are somewhere—I will do my best to fulfil your wishes."
300,mm,"it’s you, Miss Bradbury-Scott. Is there anything special?"
301,mm,Henry often spoke of you. He said things about you.
302,sh,"There was no difficulty at all about the appointment,"
303,hp,"But no matter.
What we have to look at is this—Captain Paton is missing, under
circumstances which call for an explanation. I will not hide from you
that the matter looks grave. Still, it may admit of a perfectly simple
explanation."
304,sh,"There are three hundred pounds in gold and seven hundred in notes,"
305,hp,I suppose this is the Sherlock Holmes touch!
306,mm,"I take a great interest in all the local news,"
307,mm,"After the rain, you see, you get all the soil washed off and then the boulders get loose and then down they comes. I remember one year they had three falls—three accidents there was. One boy nearly killed, he was, and then later that year, oh six months later, I think, there was a man got his arm broken, and the third time it was poor old Mrs. Walker. Blind she was and pretty well deaf too. She never heard nothing or she could have got out of the way, they say. Somebody saw it and they called out to her, but they was too far away to reach her or to run to get her. And so she was killed."
308,hp,And now your second expectation is disappointed. Franklin Clarke will not inherit his brother’s money.
309,sh,"have lost a sensational treat through the
     sudden death of the man Hope, who was suspected of the murder of Mr.
     Enoch Drebber and of Mr. Joseph Stangerson. The details of the case
     will probably be never known now, though we are informed upon good
     authority that the crime was the result of an old standing and
     romantic feud, in which love and Mormonism bore a part. It seems that
     both the victims belonged, in their younger days, to the Latter Day
     Saints, and Hope, the deceased prisoner, hails also from Salt Lake
     City. If the case has had no other effect, it, at least, brings out
     in the most striking manner the efficiency of our detective police
     force, and will serve as a lesson to all foreigners that they will do
     wisely to settle their feuds at home, and not to carry them on to
     British soil. It is an open secret that the credit of this smart
     capture belongs entirely to the well-known Scotland Yard officials,
     Messrs. Lestrade and Gregson. The man was apprehended, it appears, in
     the rooms of a certain Mr. Sherlock Holmes, who has himself, as an
     amateur, shown some talent in the detective line, and who, with such
     instructors, may hope in time to attain to some degree of their
     skill. It is expected that a testimonial of some sort will be
     presented to the two officers as a fitting recognition of their
     services."
310,mm,"That was a piece of his work. He couldn’t afford to have the police on the spot too soon. When they did come, they spent some time in the manager’s office before going up to the bedroom. That was the weakest point—the chance that someone might notice the difference between a body that had been dead two hours and one that had been dead just over half an hour; but he counted on the fact that the people who first discovered the crime would have no expert knowledge."
311,hp,I would like a word with him before our good inspector takes him in hand.
312,hp,I don’t admit anything. Not till I know what you’ve got on me.
313,sh,"He was cold, but not harsh. I dare say my severe illness prevented
     him from being that. He repeated that the matter was of the utmost
     importance, and added that no steps would be taken about my
     future--by which he means, of course, my dismissal--until my health
     was restored and I had an opportunity of repairing my misfortune."
314,mm,"About herself, you know, and her people. They all seem to be dead or in India. Very sad. By the way, she has gone to Old Hall for the weekend."
315,hp,"you should be an inventor by trade, not a
doctor. But I hear the bell—that is your patient. Let us go into the
surgery."
